AssayIdentifier,Acetate ,Isobutyrate ,Succinate ,Butyrate ,Glucose ,Propionate ,Lactate ,Formate ,Project,TimePoint,Day,Time_hr,StudyIdentifier,SampleIdentifier,Acetate_Feed,DisturbanceCarbs,Type,BlautiaHydro,Fasting,OpticalDensity,pH,Short_sample,Fasting_condition,DilutionRate (mL/hour),Comments,DisturbanceCarbs_2,TimePoint,Note,RNASeq
F5T0,30.569,1.0143,0.3487,0,1.2311,3.3572,1.9922,1.3121,MDb-MM,T0,1,0,Bioreactor_A,Ferm_55_5_0,YES,NormalCarbohydrates,Batch,NO,NO,1,,,NO,10,RunNormal,BatchNormalCarbohydrates,T0,Normal,NO
F6T0,23.6263,0.4267,0.0183,0.5121,0.7173,2.5108,1.541,0.3339,MDb-MM,T0,1,0,Bioreactor_B,Ferm_55_6_0,YES,NormalCarbohydrates,Batch,NO,NO,0.93,,,NO,10,RunNormal,BatchNormalCarbohydrates,T0,Normal,NO
F8T0,24.2707,8.0328,0.3892,0.5324,1.0347,2.7673,1.7647,1.4015,MDb-MM,T0,1,0,Bioreactor_C,Ferm_55_8_0,YES,NormalCarbohydrates,Batch,NO,NO,0.92,,,NO,10,RunNormal,BatchNormalCarbohydrates,T0,Normal,NO
F5T4,36.228,3.4847,0.9077,4.2316,0.1765,8.3989,2.385,4.9564,MDb-MM,T4,1,4,Bioreactor_A,Ferm_2_5_4,YES,NormalCarbohydrates,Batch,NO,NO,1.45,,,NO,10,RunNormal,BatchNormalCarbohydrates,T4,Normal,NO
F6T4,29.3437,2.6888,0.6286,3.778,0.7745,5.8274,1.9468,3.2664,MDb-MM,T4,1,4,Bioreactor_B,Ferm_2_6_4,YES,NormalCarbohydrates,Batch,NO,NO,0.97,,,NO,10,RunNormal,BatchNormalCarbohydrates,T4,Normal,NO
F8T4,33.8627,4.2099,0.8131,5.0187,0.634,6.4227,2.3393,4.1333,MDb-MM,T4,1,4,Bioreactor_C,Ferm_2_8_4,YES,NormalCarbohydrates,Batch,NO,NO,1.45,,,NO,10,RunNormal,BatchNormalCarbohydrates,T4,Normal,NO
F5T8,29.1986,3.3724,1.8941,6.7782,0.7786,6.1903,1.1644,4.2371,MDb-MM,T8,1,8,Bioreactor_A,Ferm_33_5_8,YES,NormalCarbohydrates,Batch,NO,NO,3.75,,,NO,10,RunNormal,BatchNormalCarbohydrates,T8,Normal,NO
F6T8,37.3704,4.1863,2.032,6.4371,0,6.7945,1.7643,4.7054,MDb-MM,T8,1,8,Bioreactor_B,Ferm_33_6_8,YES,NormalCarbohydrates,Batch,NO,NO,2.55,,,NO,10,RunNormal,BatchNormalCarbohydrates,T8,Normal,NO
F8T8,44.9988,5.2742,3.0887,11.4025,0,9.9585,0.9918,6.6886,MDb-MM,T8,1,8,Bioreactor_C,Ferm_33_8_8,YES,NormalCarbohydrates,Batch,NO,NO,3.95,,,NO,10,RunNormal,BatchNormalCarbohydrates,T8,Normal,NO
F5T12,45.0441,0.6297,4.9724,6.973,0,10.0952,0,3.315,MDb-MM,T12,1,12,Bioreactor_A,Ferm_50_5_12,YES,NormalCarbohydrates,Batch,NO,NO,5.1,,,NO,10,RunNormal,BatchNormalCarbohydrates,T12,Normal,NO
F6T12,43.8167,1.3126,4.0297,7.516,0,7.7359,0,2.9573,MDb-MM,T12,1,12,Bioreactor_B,Ferm_50_6_12,YES,NormalCarbohydrates,Batch,NO,NO,4.15,,,NO,10,RunNormal,BatchNormalCarbohydrates,T12,Normal,NO
F8T12,46.5591,1.3022,5.1006,7.6815,0,10.7279,0,2.734,MDb-MM,T12,1,12,Bioreactor_C,Ferm_50_8_12,YES,NormalCarbohydrates,Batch,NO,NO,5.55,,,NO,10,RunNormal,BatchNormalCarbohydrates,T12,Normal,NO
F5T24,48.1357,1.5438,4.0192,9.1906,0.0036,15.2178,0.0977,0.2395,MDb-MM,T24,2,24,Bioreactor_A,Ferm_9_5_24,YES,NormalCarbohydrates,Batch,NO,NO,5.1,,,NO,10,RunNormal,BatchNormalCarbohydrates,T24,Normal,YES
F6T24,53.5898,1.4872,3.7979,9.9117,0,17.1253,0.2512,0.6622,MDb-MM,T24,2,24,Bioreactor_B,Ferm_9_6_24,YES,NormalCarbohydrates,Batch,NO,NO,4.8,,,NO,10,RunNormal,BatchNormalCarbohydrates,T24,Normal,YES
F8T24,51.4089,1.5815,4.1224,10.5695,0,16.8316,0.2588,1.2212,MDb-MM,T24,2,24,Bioreactor_C,Ferm_9_8_24,YES,NormalCarbohydrates,Batch,NO,NO,5,,,NO,10,RunNormal,BatchNormalCarbohydrates,T24,Normal,YES
F5T28,56.192,1.8443,5.7909,11.7138,0,18.356,0,1.4858,MDb-MM,T28,2,28,Bioreactor_A,Ferm_43_5_28,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T28,Normal,YES
F6T28,64.2186,2.2486,5.2668,15.4889,0,22.0544,0,1.2367,MDb-MM,T28,2,28,Bioreactor_B,Ferm_43_6_28,YES,SipkeNormalCarbohydrates,Continous,NO,NO,6.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T28,Normal,YES
F8T28,55.5354,1.854,4.5401,12.9745,0,22.1041,0,1.6304,MDb-MM,T28,2,28,Bioreactor_C,Ferm_43_8_28,YES,SipkeNormalCarbohydrates,Continous,NO,NO,6.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T28,Normal,YES
F5T32,59.1814057,0,6.272071019,18.05432903,0.220836331,19.47413306,0,2.483465907,MDb-MM,T32,2,32,Bioreactor_A,Ferm_25_5_32,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T32,Normal,YES
F6T32,60.09719396,0,5.212827103,20.1253958,0.181647905,19.40857867,0,1.548287018,MDb-MM,T32,2,32,Bioreactor_B,Ferm_25_6_32,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T32,Normal,YES
F8T32,44.15743791,0,4.051581902,14.23381156,0.147438597,15.10472503,0,1.752745466,MDb-MM,T32,2,32,Bioreactor_C,Ferm_25_8_32,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T32,Normal,YES
F5T48,56.3268,2.5102,2.3491,13.6381,0.0621,22.2548,0.1984,0,MDb-MM,T48,3,48,Bioreactor_A,Ferm_28_5_48,YES,SipkeNormalCarbohydrates,Continous,NO,YES,5.9,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T48,Normal,YES
F6T48,62.7473,2.2118,1.6851,17.1754,0.0559,24.0526,0.0451,0,MDb-MM,T48,3,48,Bioreactor_B,Ferm_28_6_48,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.8,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T48,Normal,YES
F8T48,58.6735,1.9695,1.5674,16.2535,0,28.5415,0.1136,0,MDb-MM,T48,3,48,Bioreactor_C,Ferm_28_8_48,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.2,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T48,Normal,YES
F5T52,57.1213859,0,3.344803909,16.580283,0.24582167,20.79370093,0,1.39662721,MDb-MM,T52,3,52,Bioreactor_A,Ferm_5_5_52,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T52,Normal,YES
F6T52,59.35063541,0,3.157732547,18.9354577,0.232782814,21.52008816,0,1.271724753,MDb-MM,T52,3,52,Bioreactor_B,Ferm_5_6_52,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T52,Normal,YES
F8T52,52.16446363,0,2.953632021,17.40438098,0.225787642,20.86060755,0,1.338937913,MDb-MM,T52,3,52,Bioreactor_C,Ferm_5_8_52,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T52,Normal,YES
F5T56,51.395,2.0552,2.4237,12.3822,0.0892,21.2401,0,1.4362,MDb-MM,T56,3,56,Bioreactor_A,Ferm_54_5_56,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T56,Normal,YES
F6T56,58.2187,2.4231,1.7743,17.0699,0.0666,22.4489,0,0,MDb-MM,T56,3,56,Bioreactor_B,Ferm_54_6_56,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T56,Normal,YES
F8T56,46.8025,1.849,1.5561,14.4078,0.059,20.1191,0,0,MDb-MM,T56,3,56,Bioreactor_C,Ferm_54_8_56,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T56,SwitchedwithFerm_NTC_2_2,YES
F5T72,42.8054,1.6254,0.2182,11.2702,0.0582,19.6556,0.2451,0,MDb-MM,T72,4,72,Bioreactor_A,Ferm_47_5_72,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.4,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T72,Normal,NO
F6T72,43.2469,1.5213,0.0823,11.9467,0.0589,19.1008,0.2869,0,MDb-MM,T72,4,72,Bioreactor_B,Ferm_47_6_72,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.5,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T72,Normal,NO
F8T72,41.4858,1.3982,0,12.4403,0.0068,19.7696,0,1.6351,MDb-MM,T72,4,72,Bioreactor_C,Ferm_47_8_72,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.6,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T72,SwitchedwithFerm_NTC_2_1,NO
F5T74.5,50.1065,1.9973,0.8647,12.8875,0.0843,22.2256,0,0,MDb-MM,T74.5,4,74.5,Bioreactor_A,Ferm_51_5_74_5,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,YES,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T74.5,Normal,YES
F6T74.5,54.7203,2.106,1.119,15.3631,0.0934,23.2243,0.2898,0,MDb-MM,T74.5,4,74.5,Bioreactor_B,Ferm_51_6_74_5,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,YES,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T74.5,Normal,YES
F8T74.5,42.1287,1.5757,0.9089,12.8875,0.0843,20.5894,0.2056,0,MDb-MM,T74.5,4,74.5,Bioreactor_C,Ferm_51_8_74_5,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,YES,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T74.5,Normal,YES
F5T76,59.4318,6.352,1.8167,19.0934,0,28.019,0.9807,6.362,MDb-MM,T76,4,76,Bioreactor_A,Ferm_29_5_76,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T76,Normal,NO
F6T76,57.4009,4.3439,1.4695,18.629,0.1622,26.8804,0.6944,4.1391,MDb-MM,T76,4,76,Bioreactor_B,Ferm_29_6_76,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.5,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T76,Normal,NO
F8T76,58.9193,4.8265,1.6229,21.828,0.1368,29.6032,0.8814,5.1367,MDb-MM,T76,4,76,Bioreactor_C,Ferm_29_8_76,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T76,Normal,NO
F5T80.1,60.9026,5.6558,2.9298,21.2339,0.1882,29.0312,0,7.427,MDb-MM,T80,4,80,Bioreactor_A,Ferm_1_5_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.6,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T80,Normal,NO
F6T80.1,66.2318,5.0315,2.9168,22.002,0.176,30.657,0,5.1904,MDb-MM,T80,4,80,Bioreactor_B,Ferm_1_6_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.4,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T80,Normal,NO
F8T80.1,55.8846,4.2432,2.0817,20.0762,0.1634,27.9686,0.6284,4.7765,MDb-MM,T80,4,80,Bioreactor_C,Ferm_1_8_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.9,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T80,Normal,NO
F5T80,60.9026,5.6558,2.9298,21.2339,0.1882,29.0312,0,7.427,MDb-MM,T80,4,80,Bioreactor_A,Ferm_21_5_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T80,Normal,NO
F6T80,66.2318,5.0315,2.9168,22.002,0.176,30.657,0,5.1904,MDb-MM,T80,4,80,Bioreactor_B,Ferm_21_6_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.4,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T80,Normal,NO
F8T80,55.8846,4.2432,2.0817,20.0762,0.1634,27.9686,0.6284,4.7765,MDb-MM,T80,4,80,Bioreactor_C,Ferm_21_8_80,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.9,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T80,Normal,NO
F5T96,53.8035,6.3629,0.9673,19.2008,0.1701,27.0245,1.4039,5.7089,MDb-MM,T96,5,96,Bioreactor_A,Ferm_31_5_96,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.3,,,YES,10,RunNormal,ContinousSipkeNormalCarbohydrates,T96,Normal,NO
F6T96,57.6635,4.0721,1.4933,18.564,0.2831,28.2387,0,3.2606,MDb-MM,T96,5,96,Bioreactor_B,Ferm_31_6_96,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.9,,,YES,10,RunNormal,ContinousSipkeNormalCarbohydrates,T96,Normal,NO
F8T96,58.251,4.2839,1.7543,20.0418,0.1446,31.0368,0,4.3327,MDb-MM,T96,5,96,Bioreactor_C,Ferm_31_8_96,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.6,,,YES,10,RunNormal,ContinousSipkeNormalCarbohydrates,T96,Normal,NO
F5T100,58.49193203,0,1.990038794,15.2563802,0.242859465,22.67359953,0,2.090389186,MDb-MM,T100,5,100,Bioreactor_A,Ferm_15_5_100,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.2,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T100,Normal,NO
F6T100,57.20846361,0,2.204658707,17.8053565,0.24236772,22.58727442,0,1.167391358,MDb-MM,T100,5,100,Bioreactor_B,Ferm_15_6_100,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T100,Normal,NO
F8T100,54.15513705,0,1.869451791,16.91269288,0.273191425,22.98058592,0,0,MDb-MM,T100,5,100,Bioreactor_C,Ferm_15_8_100,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T100,Normal,NO
F5T104,58.85188683,0,2.372965976,17.11342517,0.273351375,21.60968322,0,2.589447133,MDb-MM,T104,5,104,Bioreactor_A,Ferm_60_5_104,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T104,Normal,NO
F6T104,60.91248705,0,2.546100737,19.11979668,0.297691334,22.48585544,0,1.934363384,MDb-MM,T104,5,104,Bioreactor_B,Ferm_60_6_104,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.4,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T104,Normal,NO
F8T104,56.11471286,0,2.901928049,18.42392271,0.038851309,22.83500037,0,1.723200492,MDb-MM,T104,5,104,Bioreactor_C,Ferm_60_8_104,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T104,Normal,NO
F5T120,54.2546,1.6422,0.3604,13.2068,0.1181,23.4102,0.1683,0,MDb-MM,T120,6,120,Bioreactor_A,Ferm_26_5_120,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.4,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T120,Normal,NO
F6T120,53.5586,1.4117,0,11.7062,0.1094,24.8101,0,0.0029,MDb-MM,T120,6,120,Bioreactor_B,Ferm_26_6_120,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.7,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T120,Normal,NO
F8T120,55.9009,1.6521,0,16.0554,0.0939,28.6383,0,0.0061,MDb-MM,T120,6,120,Bioreactor_C,Ferm_26_8_120,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.8,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T120,Normal,NO
F5T124,51.7423,1.317,0.8687,12.2672,0.1141,21.1125,0,0,MDb-MM,T124,6,124,Bioreactor_A,Ferm_17_5_124,YES,SipkeNormalCarbohydrates,Continous,NO,NO,6.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T124,Normal,NO
F6T124,49.9288,1.7258,0.9822,14.0546,0.1321,21.6452,0,0,MDb-MM,T124,6,124,Bioreactor_B,Ferm_17_6_124,YES,SipkeNormalCarbohydrates,Continous,NO,NO,7.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T124,Normal,NO
F8T152,57.7105,1.9557,1.8381,15.2426,0.1853,26.6861,0,0.9575,MDb-MM,T152,7,152,Bioreactor_C,Ferm_18_8_152,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T152,Normal,YES
F5T128,69.8756,3.2274,2.7781,16.0993,0.252,27.5607,0,4.1478,MDb-MM,T128,6,128,Bioreactor_A,Ferm_63_5_128,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.2,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T128,Normal,NO
F6T128,57.4445,2.0363,2.3006,15.8785,0.2171,24.2948,0,1.7797,MDb-MM,T128,6,128,Bioreactor_B,Ferm_63_6_128,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.6,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T128,Normal,NO
F8T128,59.1614,0,2.0779,21.4244,0.2424,27.5247,0,0.7172,MDb-MM,T128,6,128,Bioreactor_C,Ferm_63_8_128,YES,SipkeNormalCarbohydrates,Continous,NO,NO,8.7,,,NO,10,RunNormal,ContinousSipkeNormalCarbohydrates,T128,Normal,NO
F5T144,64.0725,1.9203,0.5064,14.5502,0.2083,28.2461,0.7044,1.8458,MDb-MM,T144,7,144,Bioreactor_A,Ferm_64_5_144,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.4,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T144,Normal,NO
F6T144,62.7454,1.9368,0.5982,16.3013,0.1535,29.5535,0,0.101,MDb-MM,T144,7,144,Bioreactor_B,Ferm_64_6_144,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6.4,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T144,Normal,NO
F8T144,61.13,1.928,0,16.8624,0.2099,30.5997,0,0,MDb-MM,T144,7,144,Bioreactor_C,Ferm_64_8_144,YES,SipkeNormalCarbohydrates,Continous,NO,YES,6,,,YES,10,RunNormal,FastingContinousSipkeNormalCarbohydrates,T144,Normal,NO
